"id","cwb_1_sim","cwb_2_sim","cwb_3_sim","cwb_4_sim","res_1","res_2","dem_1_sim","res_1_sim","res_2_sim","dem_2_sim","dem_3_sim","cwb_scale"
3423,NA,NA,NA,2,1,15,NA,NA,NA,1,2,NA
3424,NA,1,NA,1,1,NA,NA,3,NA,NA,2,NA
3425,NA,NA,NA,NA,2,11,NA,NA,NA,1,NA,NA
3426,NA,1,1,NA,1,NA,29,1,NA,1,NA,NA
3427,NA,1,NA,2,1,1,14,NA,14,4,NA,NA
3428,1,NA,2,NA,1,1,88,1,16,1,NA,1714.5
3429,NA,1,1,NA,NA,NA,51,1,6,3,2,NA
3430,2,NA,NA,NA,2,6,NA,1,NA,NA,2,1716
3431,NA,1,NA,2,2,3,25,NA,2,1,NA,NA
3432,NA,1,NA,NA,NA,NA,NA,NA,12,NA,2,NA
3433,2,1,1,NA,2,NA,49,1,NA,NA,2,1717.5
3434,NA,NA,NA,1,2,6,NA,2,1,1,NA,NA
3435,2,NA,NA,NA,NA,NA,NA,2,14,1,NA,1718.5
3436,NA,NA,1,1,3,4,67,2,3,NA,2,NA
3437,1,1,NA,NA,2,1,NA,1,1,NA,2,1719
3438,NA,1,NA,2,NA,5,NA,NA,13,4,2,NA
3439,NA,NA,NA,NA,2,NA,43,NA,13,NA,2,NA
3440,NA,1,NA,2,2,NA,NA,2,10,NA,2,NA
3441,NA,NA,1,NA,3,NA,NA,NA,12,NA,2,NA
3442,2,1,NA,2,3,12,NA,2,10,1,2,1722
3443,1,1,1,NA,NA,NA,NA,2,15,NA,NA,1722
3444,NA,1,1,2,2,12,46,NA,NA,3,2,NA
3445,NA,NA,NA,2,NA,NA,67,2,15,4,2,NA
3446,NA,1,1,NA,2,NA,75,NA,9,2,NA,NA
3447,NA,NA,NA,1,2,16,59,1,NA,NA,2,NA
3448,2,NA,1,NA,NA,14,70,2,16,3,2,1725
3449,NA,1,NA,NA,NA,NA,75,2,8,1,2,NA
3450,NA,1,1,NA,NA,8,NA,1,13,1,2,NA
3451,NA,1,NA,NA,NA,1,70,NA,13,NA,2,NA
3452,NA,NA,NA,NA,2,1,NA,2,NA,3,2,NA
3453,NA,1,NA,NA,2,7,NA,2,NA,1,NA,NA
3454,NA,1,1,NA,NA,10,NA,NA,NA,NA,2,NA
3455,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA
3456,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA
3457,2,NA,1,NA,NA,8,72,NA,16,NA,2,1729.5
3458,NA,1,NA,NA,1,4,68,2,NA,NA,2,NA
3459,NA,1,NA,1,NA,6,NA,1,1,NA,NA,NA
3460,NA,1,NA,NA,2,NA,16,NA,10,1,NA,NA
3461,1,2,1,NA,2,14,25,NA,2,2,2,1731
3462,NA,2,NA,NA,NA,10,78,2,NA,1,2,NA
3463,NA,NA,NA,NA,1,6,29,2,2,1,2,NA
3464,NA,1,NA,NA,2,9,50,NA,NA,1,2,NA
3465,2,1,NA,1,2,1,65,1,13,NA,2,1733.5
3466,NA,1,NA,2,NA,NA,25,3,NA,NA,NA,NA
3467,NA,1,NA,2,1,NA,6,2,8,1,NA,NA
3468,NA,NA,NA,NA,1,11,42,3,1,NA,2,NA
3469,NA,1,1,NA,2,10,NA,NA,NA,3,2,NA
3470,NA,NA,1,NA,NA,2,34,2,10,1,2,NA
3471,2,NA,1,NA,2,NA,NA,1,10,4,2,1736.5
3472,NA,1,NA,1,2,NA,NA,NA,6,1,2,NA
3473,2,1,NA,2,3,3,33,NA,2,1,2,1737.5
3474,1,1,NA,NA,2,3,80,NA,NA,1,NA,1737.5
3475,NA,1,1,NA,3,15,84,NA,NA,1,2,NA
3476,NA,1,1,1,2,15,12,2,NA,NA,2,NA
3477,2,2,NA,1,NA,9,79,2,9,NA,2,1739.5
3478,2,1,NA,NA,2,5,24,NA,NA,1,NA,1740
3479,NA,NA,NA,NA,1,NA,56,1,NA,1,NA,NA
3480,NA,2,NA,NA,NA,2,NA,2,NA,1,NA,NA
3481,2,1,NA,NA,2,11,88,2,16,1,2,1741.5
3482,2,2,1,NA,NA,10,NA,NA,5,1,2,1742
3483,2,NA,1,NA,NA,7,NA,NA,NA,1,NA,1742.5
3484,NA,2,NA,NA,NA,NA,52,2,9,4,NA,NA
3485,2,NA,NA,NA,NA,NA,NA,NA,3,1,1,1743.5
3486,NA,NA,1,2,1,11,NA,NA,NA,NA,2,NA
3487,2,NA,1,NA,1,10,79,2,NA,NA,NA,1744.5
3488,NA,NA,1,NA,NA,6,79,3,16,1,NA,NA
3489,NA,NA,NA,1,2,NA,85,2,13,NA,2,NA
3490,NA,NA,1,NA,NA,12,12,2,NA,1,2,NA
3491,NA,NA,1,1,NA,10,77,NA,15,NA,2,NA
3492,NA,1,NA,1,NA,12,6,1,NA,NA,2,NA
3493,NA,1,NA,NA,1,NA,11,1,NA,NA,2,NA
3494,NA,NA,1,2,2,12,20,1,NA,NA,NA,NA
3495,1,NA,NA,NA,1,NA,16,2,NA,1,NA,1748
3496,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1749
3497,1,1,NA,NA,NA,16,NA,NA,13,1,2,1749
3498,NA,NA,NA,NA,2,5,32,NA,NA,NA,2,NA
3499,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA
3500,NA,NA,1,NA,NA,8,64,3,NA,1,NA,NA
3501,NA,1,1,NA,1,8,41,1,NA,NA,NA,NA
3502,2,1,NA,NA,2,16,9,NA,NA,NA,NA,1752
3503,NA,1,NA,2,3,NA,75,NA,NA,NA,NA,NA
3504,2,1,1,1,NA,NA,33,3,NA,1,2,1753
3505,1,NA,1,1,2,6,30,1,7,NA,2,1753
3506,2,NA,2,2,NA,NA,9,NA,NA,NA,NA,1754
3507,2,1,NA,NA,2,10,NA,2,NA,1,2,1754.5
3508,1,1,1,NA,NA,NA,NA,3,NA,1,NA,1754.5
3509,1,1,1,1,3,NA,8,2,11,NA,2,1755
3510,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA
3511,2,NA,NA,NA,3,14,44,NA,NA,NA,2,1756.5
3512,2,1,NA,NA,1,9,NA,NA,9,1,NA,1757
3513,NA,1,1,2,2,NA,48,1,NA,1,NA,NA
3514,NA,NA,NA,1,NA,8,32,NA,9,NA,2,NA
3515,2,NA,NA,NA,3,2,NA,2,NA,2,NA,1758.5
3516,1,1,NA,NA,2,4,32,2,NA,NA,2,1758.5
3517,NA,1,NA,NA,3,NA,74,3,NA,NA,NA,NA
3518,1,NA,1,NA,NA,12,8,1,NA,1,2,1759.5
3519,2,1,NA,NA,2,9,18,2,NA,1,NA,1760.5
3520,1,1,NA,NA,NA,10,NA,2,9,4,2,1760.5
3521,1,NA,1,NA,NA,NA,41,2,14,1,2,1761
3522,2,1,NA,1,NA,16,NA,2,13,1,2,1762
3523,2,1,1,NA,NA,6,35,NA,NA,NA,2,1762.5
3524,NA,NA,NA,NA,NA,NA,72,NA,4,NA,2,NA
3525,1,1,1,NA,2,10,89,NA,NA,1,NA,1763
3526,NA,NA,1,1,NA,9,30,2,9,3,2,NA
3527,2,NA,NA,NA,3,7,57,NA,13,1,NA,1764.5
3528,NA,1,NA,1,2,NA,15,2,16,NA,2,NA
3529,NA,1,1,NA,1,NA,NA,NA,10,3,2,NA
3530,NA,NA,NA,NA,NA,3,76,NA,NA,1,NA,NA
3531,NA,1,NA,1,2,NA,67,2,NA,NA,NA,NA
3532,NA,NA,NA,1,1,13,83,NA,7,NA,2,NA
3533,1,1,1,1,1,15,NA,NA,12,1,2,1767
3534,NA,1,NA,1,2,1,10,2,NA,NA,2,NA
3535,NA,1,NA,NA,1,6,NA,1,16,3,NA,NA
3536,NA,1,NA,NA,1,8,2,NA,NA,NA,NA,NA
3537,2,NA,NA,NA,2,10,16,2,9,3,2,1769.5
3538,NA,NA,1,NA,1,14,41,NA,NA,4,NA,NA
3539,2,1,1,NA,3,3,8,2,15,NA,2,1770.5
3540,1,NA,NA,1,NA,14,NA,3,NA,NA,NA,1770.5
3541,NA,NA,NA,NA,2,11,47,3,10,3,NA,NA
3542,NA,NA,NA,1,NA,6,75,2,6,1,NA,NA
3543,NA,NA,1,NA,1,NA,22,1,11,1,1,NA
3544,NA,NA,NA,2,NA,6,40,NA,NA,1,2,NA
3545,1,1,1,NA,NA,NA,51,NA,15,1,2,1773
3546,2,1,NA,NA,2,2,NA,NA,16,1,1,1774
3547,NA,NA,1,NA,1,4,NA,3,9,1,2,NA
3548,2,NA,NA,NA,2,13,33,NA,NA,NA,2,1775
3549,NA,NA,1,NA,1,NA,NA,2,NA,1,2,NA
3550,NA,NA,NA,1,NA,1,83,1,NA,NA,2,NA
3551,NA,1,1,NA,3,NA,NA,3,16,1,NA,NA
3552,NA,1,NA,NA,2,7,NA,2,13,1,2,NA
3553,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
3554,NA,1,NA,NA,NA,NA,NA,2,15,1,2,NA
3555,NA,1,1,1,NA,NA,78,NA,3,NA,1,NA
3556,NA,NA,NA,2,1,14,32,1,9,1,NA,NA
3557,1,NA,NA,NA,2,5,NA,2,8,1,NA,1779
3558,1,1,NA,2,NA,NA,37,NA,NA,1,2,1779.5
3559,1,2,1,2,1,9,61,1,12,1,2,1780
3560,NA,2,NA,NA,2,NA,81,1,8,NA,2,NA
3561,1,NA,1,NA,1,NA,NA,1,14,NA,NA,1781
3562,2,1,NA,NA,NA,NA,31,NA,6,1,2,1782
3563,NA,1,1,1,1,2,6,1,16,1,2,NA
3564,NA,1,1,1,3,11,21,NA,12,NA,2,NA
3565,NA,1,1,NA,3,9,27,NA,6,1,NA,NA
3566,NA,1,1,1,2,4,43,2,1,NA,NA,NA
3567,1,1,1,1,NA,NA,60,1,4,1,2,1784
3568,NA,NA,NA,NA,NA,2,89,NA,9,NA,1,NA
3569,NA,2,NA,1,NA,9,NA,NA,1,1,2,NA
3570,1,1,NA,2,3,16,NA,2,NA,NA,NA,1785.5
3571,NA,1,NA,NA,NA,NA,21,NA,12,4,2,NA
3572,2,NA,1,NA,2,15,42,NA,NA,NA,2,1787
3573,2,NA,NA,1,3,16,82,1,16,1,NA,1787.5
3574,2,NA,NA,1,1,16,72,2,NA,NA,2,1788
3575,2,1,1,NA,1,NA,65,2,16,1,NA,1788.5
3576,NA,1,NA,2,1,6,85,NA,4,NA,2,NA
3577,NA,NA,NA,NA,1,5,64,NA,NA,1,2,NA
3578,2,NA,NA,NA,NA,2,NA,1,NA,2,NA,1790
3579,NA,2,1,NA,3,NA,81,NA,14,NA,2,NA
3580,1,1,NA,NA,1,8,36,2,3,1,NA,1790.5
3581,2,1,NA,NA,2,5,32,3,5,NA,2,1791.5
3582,1,1,1,NA,2,2,28,2,NA,NA,2,1791.5
3583,NA,NA,1,NA,NA,NA,24,2,10,NA,NA,NA
3584,2,1,NA,2,1,NA,44,2,16,1,2,1793
3585,NA,1,1,2,1,NA,2,3,NA,1,NA,NA
3586,NA,NA,NA,1,1,15,NA,1,14,NA,2,NA
3587,NA,1,1,2,2,16,55,NA,NA,1,NA,NA
3588,NA,1,NA,2,NA,NA,12,1,9,NA,2,NA
3589,NA,1,NA,2,3,NA,50,1,16,1,2,NA
3590,1,NA,NA,2,NA,NA,89,1,NA,1,2,1795.5
3591,NA,1,1,1,NA,15,68,NA,NA,1,NA,NA
3592,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
3593,NA,1,NA,NA,1,5,57,2,NA,NA,2,NA
3594,2,1,NA,NA,NA,NA,NA,NA,5,4,NA,1798
3595,NA,1,1,NA,NA,10,40,NA,3,1,NA,NA
3596,1,1,NA,NA,NA,NA,NA,NA,14,1,NA,1798.5
3597,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
3598,NA,NA,NA,1,1,NA,21,2,NA,2,NA,NA
3599,1,1,1,1,2,6,NA,2,NA,1,NA,1800
3600,NA,1,NA,NA,NA,12,NA,NA,NA,3,NA,NA
3601,NA,1,NA,NA,NA,NA,13,2,15,1,2,NA
3602,2,1,1,1,NA,NA,NA,2,2,NA,2,1802
3603,NA,1,NA,NA,NA,8,NA,NA,1,1,NA,NA
3604,1,1,NA,2,3,1,40,NA,NA,1,2,1802.5
3605,2,1,NA,NA,2,11,61,NA,3,1,2,1803.5
3606,NA,1,1,1,NA,1,37,NA,4,1,NA,NA
3607,2,1,NA,NA,NA,NA,NA,2,1,NA,NA,1804.5
3608,NA,1,NA,NA,NA,14,89,2,7,1,NA,NA
3609,1,NA,1,NA,1,6,1,NA,10,NA,NA,1805
3610,NA,1,NA,NA,1,16,67,2,NA,NA,2,NA
3611,2,1,NA,1,2,14,NA,3,9,1,NA,1806.5
3612,NA,1,1,2,2,NA,NA,2,6,4,2,NA
3613,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA
3614,NA,NA,NA,2,2,7,NA,NA,NA,3,2,NA
3615,NA,NA,NA,NA,1,8,NA,3,9,1,NA,NA
3616,NA,NA,NA,NA,NA,NA,NA,2,16,NA,NA,NA
3617,NA,1,1,NA,NA,13,57,NA,12,1,NA,NA
3618,NA,NA,1,NA,2,10,32,2,5,1,2,NA
3619,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
3620,NA,1,NA,2,3,7,21,3,9,3,2,NA
3621,NA,1,1,1,1,NA,37,1,2,1,2,NA
3622,NA,NA,1,NA,NA,13,73,2,3,NA,NA,NA
3623,NA,NA,1,NA,2,NA,5,2,NA,1,2,NA
3624,2,1,NA,NA,3,8,17,NA,NA,NA,2,1813
3625,NA,NA,NA,NA,1,NA,43,3,12,2,2,NA
3626,NA,NA,1,2,2,NA,NA,NA,14,NA,1,NA
3627,1,1,NA,2,NA,1,3,2,NA,NA,2,1814
3628,NA,1,NA,NA,NA,8,NA,1,NA,NA,NA,NA
3629,2,1,NA,1,NA,NA,70,NA,6,1,2,1815.5
3630,NA,1,NA,NA,2,5,82,NA,12,1,2,NA
3631,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA
3632,NA,1,NA,NA,2,4,NA,NA,NA,1,NA,NA
3633,NA,1,NA,1,NA,2,NA,2,1,1,NA,NA
3634,NA,NA,NA,1,3,16,NA,NA,2,NA,NA,NA
3635,NA,NA,NA,NA,3,4,50,NA,15,NA,NA,NA
3636,NA,NA,1,2,2,15,48,2,3,2,NA,NA
3637,2,NA,1,1,2,12,NA,NA,NA,NA,2,1819.5
3638,1,1,NA,NA,NA,11,81,NA,16,1,NA,1819.5
3639,NA,1,1,2,NA,NA,64,3,NA,NA,2,NA
3640,NA,NA,1,NA,1,6,NA,1,NA,1,2,NA
3641,NA,NA,NA,NA,2,7,19,NA,7,1,2,NA
3642,2,NA,NA,2,2,1,NA,1,NA,NA,2,1822
3643,2,1,NA,1,NA,13,NA,3,NA,NA,2,1822.5
3644,NA,1,NA,NA,3,NA,42,1,NA,NA,2,NA
3645,2,1,NA,NA,NA,NA,3,NA,2,1,NA,1823.5
3646,1,NA,2,NA,2,13,33,1,NA,1,NA,1823.5
3647,NA,NA,NA,NA,1,15,80,2,NA,NA,2,NA
3648,NA,1,NA,2,NA,12,12,1,15,1,2,NA
3649,2,1,NA,NA,2,NA,80,3,12,NA,NA,1825.5
3650,NA,1,NA,2,3,1,13,NA,NA,NA,NA,NA
3651,NA,NA,1,2,NA,2,25,3,14,1,NA,NA
3652,NA,NA,NA,NA,NA,6,14,NA,1,1,2,NA
3653,2,1,NA,NA,2,14,52,2,NA,3,NA,1827.5
3654,NA,NA,NA,2,NA,1,65,NA,3,1,NA,NA
3655,1,NA,NA,NA,NA,12,90,NA,16,1,2,1828
3656,1,NA,1,1,1,NA,78,1,4,NA,2,1828.5
3657,NA,NA,1,NA,NA,6,83,NA,2,1,2,NA
3658,1,NA,2,1,1,NA,64,2,NA,NA,NA,1829.5
3659,NA,NA,1,NA,2,3,45,1,NA,1,2,NA
3660,2,NA,NA,NA,NA,10,NA,1,6,1,2,1831
3661,NA,1,1,2,2,NA,83,NA,NA,1,2,NA
3662,NA,1,1,NA,NA,9,49,1,NA,1,2,NA
3663,2,NA,NA,2,NA,12,NA,NA,NA,1,1,1832.5
3664,NA,2,1,1,1,NA,20,2,10,NA,2,NA
3665,NA,NA,NA,NA,1,4,32,NA,NA,1,2,NA
3666,2,1,NA,NA,NA,7,59,1,NA,NA,2,1834
3667,NA,NA,1,NA,3,8,61,1,NA,1,2,NA
3668,NA,1,NA,2,NA,11,30,1,14,1,NA,NA
3669,NA,NA,1,1,3,10,31,1,7,1,2,NA
3670,NA,1,1,1,NA,5,31,2,NA,NA,2,NA
3671,NA,1,1,NA,NA,10,35,NA,1,NA,2,NA
3672,NA,NA,NA,NA,2,4,NA,1,7,1,2,NA
3673,NA,NA,1,NA,NA,15,63,2,12,1,NA,NA
3674,NA,1,NA,NA,1,10,73,NA,NA,NA,1,NA
3675,1,NA,NA,NA,1,10,2,NA,12,1,2,1838
3676,NA,1,NA,NA,3,2,89,NA,NA,2,2,NA
3677,NA,NA,1,NA,2,NA,13,2,NA,1,NA,NA
3678,NA,1,NA,1,NA,4,NA,1,NA,1,NA,NA
3679,NA,1,NA,1,NA,15,10,NA,NA,1,NA,NA
3680,NA,NA,1,NA,3,11,19,2,7,1,2,NA
3681,1,1,NA,2,NA,2,47,2,NA,1,2,1841
3682,NA,1,NA,NA,NA,NA,27,NA,NA,1,2,NA
3683,NA,1,NA,NA,NA,13,35,NA,NA,NA,NA,NA
3684,NA,1,1,2,3,NA,5,3,6,1,2,NA
3685,NA,NA,1,NA,1,NA,45,2,14,1,NA,NA
3686,1,1,NA,2,NA,11,NA,2,NA,1,NA,1843.5
3687,2,1,NA,NA,1,12,67,3,9,1,NA,1844.5
3688,NA,NA,NA,NA,1,5,NA,2,13,NA,2,NA
3689,2,NA,NA,1,1,NA,NA,2,NA,4,2,1845.5
3690,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,2,NA
3691,NA,NA,NA,NA,3,8,70,2,6,1,2,NA
3692,2,NA,2,NA,NA,NA,8,2,NA,2,2,1847
3693,NA,1,NA,2,NA,NA,16,NA,14,NA,2,NA
3694,NA,1,NA,NA,NA,12,NA,NA,7,1,NA,NA
3695,NA,NA,NA,NA,NA,NA,45,1,14,NA,2,NA
3696,NA,1,1,2,NA,9,51,NA,1,1,2,NA
3697,1,NA,NA,1,1,4,NA,2,2,NA,2,1849
3698,1,NA,NA,NA,2,15,43,2,5,1,NA,1849.5
3699,2,NA,1,NA,NA,15,NA,2,NA,NA,2,1850.5
3700,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,2,NA
3701,1,NA,1,NA,1,3,NA,NA,4,NA,NA,1851
3702,NA,2,NA,NA,1,15,64,3,NA,NA,NA,NA
3703,NA,1,NA,NA,NA,3,3,NA,12,NA,2,NA
3704,NA,1,1,NA,NA,3,NA,NA,NA,NA,2,NA
3705,NA,1,NA,NA,NA,11,46,NA,13,1,2,NA
3706,2,1,NA,NA,2,NA,NA,NA,15,NA,2,1854
3707,1,NA,1,1,2,NA,59,3,7,1,2,1854
3708,NA,1,NA,NA,NA,NA,27,1,NA,NA,2,NA
3709,NA,1,1,NA,2,5,NA,NA,8,NA,2,NA
3710,1,1,NA,NA,1,4,NA,NA,1,1,NA,1855.5
3711,NA,1,NA,NA,NA,9,NA,1,8,NA,2,NA
3712,2,1,1,NA,NA,6,NA,2,NA,NA,2,1857
3713,2,NA,NA,2,NA,3,0,1,15,1,NA,1857.5
3714,NA,NA,1,NA,NA,15,17,3,NA,4,2,NA
3715,NA,1,1,2,2,NA,4,NA,13,1,NA,NA
3716,NA,1,NA,NA,2,5,NA,3,8,1,NA,NA
3717,2,1,NA,NA,3,13,82,2,2,1,NA,1859.5
3718,NA,1,1,NA,2,13,NA,1,NA,1,2,NA
3719,NA,1,NA,2,NA,1,NA,1,NA,1,2,NA
3720,NA,1,NA,NA,NA,10,8,1,NA,1,2,NA
3721,NA,NA,1,NA,1,14,4,2,4,1,2,NA
3722,1,1,NA,NA,3,5,68,1,NA,1,2,1861.5
3723,NA,NA,NA,NA,1,13,47,1,12,NA,NA,NA
3724,NA,NA,1,NA,1,8,NA,NA,15,NA,NA,NA
3725,NA,NA,1,NA,1,10,27,3,5,1,NA,NA
3726,NA,1,NA,1,1,NA,NA,1,9,1,NA,NA
3727,2,1,1,NA,3,7,72,2,NA,NA,NA,1864.5
3728,NA,1,NA,1,2,10,68,2,NA,1,NA,NA
3729,2,NA,1,2,NA,NA,72,NA,5,1,NA,1865.5
3730,2,1,NA,NA,NA,15,89,NA,6,NA,2,1866
3731,1,1,NA,2,NA,NA,NA,NA,4,1,NA,1866
3732,NA,NA,1,NA,1,NA,NA,3,12,NA,2,NA
3733,NA,1,NA,2,2,10,NA,NA,7,NA,2,NA
3734,2,1,NA,NA,2,NA,80,2,NA,1,2,1868
3735,1,NA,NA,1,2,6,63,NA,NA,1,NA,1868
3736,2,1,NA,NA,1,12,79,NA,16,1,2,1869
3737,NA,1,1,2,NA,15,63,NA,NA,1,NA,NA
3738,NA,1,NA,NA,2,NA,89,1,14,NA,NA,NA
3739,NA,NA,1,NA,1,NA,NA,2,16,4,NA,NA
3740,1,NA,1,NA,3,15,57,2,16,1,2,1870.5
3741,NA,1,NA,NA,1,NA,4,1,15,1,2,NA
3742,2,1,1,2,NA,11,76,1,6,NA,2,1872
3743,NA,1,1,NA,NA,11,NA,3,NA,2,NA,NA
3744,1,1,1,1,1,NA,23,1,10,NA,2,1872.5
3745,2,2,NA,2,NA,12,74,2,9,NA,NA,1873.5
3746,1,1,NA,2,2,5,NA,NA,NA,NA,2,1873.5
3747,2,1,NA,2,2,NA,33,NA,14,3,NA,1874.5
3748,NA,NA,NA,2,NA,11,NA,NA,NA,NA,1,NA
3749,2,1,NA,NA,2,7,87,NA,4,NA,NA,1875.5
3750,NA,1,1,NA,1,11,33,NA,1,NA,NA,NA
3751,1,NA,NA,NA,2,NA,NA,2,7,1,NA,1876
3752,NA,1,NA,NA,1,NA,77,NA,8,3,2,NA
3753,NA,NA,1,NA,NA,NA,24,NA,5,1,NA,NA
3754,NA,1,NA,NA,3,7,50,2,5,1,NA,NA
3755,2,1,NA,NA,2,NA,49,2,7,3,NA,1878.5
3756,NA,2,1,NA,2,3,65,NA,NA,1,2,NA
3757,1,1,NA,1,NA,9,52,1,16,1,NA,1879
3758,1,1,1,1,2,2,63,3,12,1,2,1879.5
3759,NA,NA,1,NA,2,NA,NA,NA,2,1,2,NA
3760,2,1,1,1,2,8,NA,1,6,1,2,1881
3761,NA,1,NA,NA,NA,16,56,NA,3,1,NA,NA
3762,NA,NA,NA,NA,NA,NA,89,1,NA,1,NA,NA
3763,1,1,1,NA,NA,16,NA,2,5,NA,2,1882
3764,NA,1,NA,NA,NA,NA,34,2,11,NA,NA,NA
3765,NA,2,1,NA,2,8,NA,2,NA,1,NA,NA
3766,NA,1,NA,1,NA,6,17,3,11,1,2,NA
3767,NA,1,1,NA,1,3,NA,3,1,3,2,NA
3768,1,NA,2,1,1,NA,31,1,15,1,2,1884.5
3769,NA,1,1,2,2,5,15,NA,NA,NA,2,NA
3770,NA,NA,1,NA,2,15,89,NA,NA,1,2,NA
3771,2,1,NA,NA,NA,15,NA,3,NA,1,NA,1886.5
3772,2,NA,NA,2,1,13,NA,1,NA,NA,2,1887
3773,NA,1,NA,NA,2,2,NA,NA,4,2,2,NA
3774,NA,1,NA,2,2,11,59,3,15,NA,NA,NA
3775,NA,1,NA,NA,NA,NA,NA,1,5,3,NA,NA
3776,NA,1,NA,NA,3,13,44,NA,15,1,1,NA
3777,2,1,NA,NA,1,NA,0,NA,16,NA,NA,1889.5
3778,NA,1,1,NA,2,2,61,NA,13,1,2,NA
3779,NA,1,NA,NA,NA,NA,41,NA,3,1,NA,NA
3780,NA,NA,NA,NA,3,8,NA,2,13,NA,NA,NA
3781,NA,NA,1,2,NA,13,81,2,15,1,NA,NA
3782,NA,NA,NA,NA,2,NA,59,2,2,1,2,NA
3783,NA,NA,NA,NA,NA,10,30,NA,NA,2,2,NA
3784,NA,NA,NA,1,NA,14,85,1,NA,NA,2,NA
3785,1,NA,NA,NA,NA,NA,75,1,10,1,NA,1893
3786,1,1,1,NA,NA,2,46,2,7,1,2,1893.5
3787,NA,1,1,2,NA,2,20,2,16,NA,2,NA
3788,NA,NA,NA,NA,2,NA,44,NA,1,1,NA,NA
3789,NA,NA,NA,NA,1,1,89,NA,8,1,2,NA
3790,1,NA,NA,NA,3,1,9,2,9,NA,2,1895.5
3791,2,NA,NA,NA,2,5,71,2,NA,1,2,1896.5
3792,NA,1,NA,NA,NA,12,34,1,4,NA,2,NA
3793,NA,1,1,NA,3,5,NA,2,NA,1,NA,NA
3794,1,NA,NA,NA,NA,9,NA,3,NA,NA,2,1897.5
3795,NA,NA,1,NA,3,NA,59,3,3,1,2,NA
3796,1,1,1,1,1,7,NA,NA,1,2,2,1898.5
3797,NA,1,NA,NA,1,NA,60,2,11,NA,1,NA
3798,NA,NA,NA,NA,NA,12,88,2,NA,1,NA,NA
3799,2,1,NA,2,2,NA,21,3,NA,NA,2,1900.5
3800,1,NA,1,NA,1,14,52,1,8,NA,2,1900.5
3801,NA,NA,NA,1,NA,NA,NA,3,NA,NA,2,NA
3802,1,1,NA,1,2,13,72,1,3,1,2,1901.5
3803,NA,1,1,NA,2,5,NA,1,15,1,2,NA
3804,NA,NA,NA,2,2,9,NA,NA,8,1,NA,NA
3805,2,NA,NA,2,3,6,NA,2,6,1,NA,1903.5
3806,NA,1,1,1,2,4,7,NA,10,NA,2,NA
3807,NA,1,NA,NA,3,14,NA,NA,NA,NA,2,NA
3808,NA,NA,1,NA,NA,15,21,3,11,1,NA,NA
3809,1,1,1,NA,NA,3,NA,1,11,NA,2,1905
3810,2,NA,NA,NA,2,12,83,NA,NA,1,2,1906
3811,NA,1,1,NA,3,16,70,1,10,1,2,NA
3812,NA,1,NA,1,NA,7,0,NA,7,NA,2,NA
3813,NA,1,NA,NA,2,1,NA,2,NA,1,NA,NA
3814,1,1,NA,1,1,15,NA,2,8,NA,2,1907.5
3815,1,1,NA,1,NA,5,25,2,NA,NA,NA,1908
3816,NA,NA,NA,NA,1,NA,NA,1,14,1,2,NA
3817,2,NA,NA,NA,2,NA,67,NA,NA,NA,NA,1909.5
3818,NA,1,NA,1,2,NA,NA,NA,5,1,NA,NA
3819,NA,2,NA,NA,3,NA,NA,1,NA,1,NA,NA
3820,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA
3821,2,NA,NA,1,NA,7,NA,NA,NA,1,2,1911.5
3822,NA,NA,NA,NA,NA,16,80,2,NA,2,2,NA
3823,NA,NA,1,NA,NA,NA,57,1,10,1,NA,NA
3824,NA,NA,NA,NA,2,5,NA,NA,16,3,NA,NA
3825,2,NA,1,NA,2,NA,NA,1,6,NA,2,1913.5
3826,NA,1,1,NA,NA,5,26,NA,16,1,NA,NA
3827,NA,1,NA,NA,1,NA,NA,1,15,NA,2,NA
3828,NA,1,NA,NA,NA,NA,51,3,NA,1,2,NA
3829,NA,1,1,1,NA,2,81,2,NA,1,NA,NA
3830,NA,1,1,NA,2,4,69,1,11,2,2,NA
3831,NA,1,1,2,NA,3,86,NA,NA,3,2,NA
3832,NA,1,1,1,2,3,NA,3,7,3,2,NA
3833,2,NA,1,NA,NA,5,NA,1,NA,NA,2,1917.5
3834,NA,NA,1,NA,NA,NA,49,3,NA,1,NA,NA
3835,NA,1,NA,1,2,4,84,NA,13,NA,2,NA
3836,1,1,1,NA,NA,16,NA,NA,NA,NA,NA,1918.5
3837,NA,NA,1,NA,NA,5,8,1,NA,NA,NA,NA
3838,NA,2,NA,NA,3,10,NA,1,4,NA,NA,NA
